"Seq","Name","Amount*","Remarks","Collection","Assign. No.","Date","Terms","Approval","Description","TS Status","Account No.","Cust PO","Status","Reference","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Ship-To","Cust ChgBack No.","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"380","STAGE STORES INC","2,016.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027560","Open","101210","  .00%",".00","2,016.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101210","G324","","12/27/13","VENDOR PORTAL","   288","    48","167903","2,016.00","    .00",".00","","","","TX","00601","00601",
"381","STAGE STORES INC","1,248.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027561","Open","101211","  .00%",".00","1,248.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101211","G324","","12/27/13","VENDOR PORTAL","   312","    39","167904","1,248.00","    .00",".00","","","","TX","00601","00601",
"382","STAGE STORES INC","1,734.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027562","Open","101212","  .00%",".00","1,734.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101212","G324","","12/27/13","VENDOR PORTAL","   204","    17","167905","1,734.00","    .00",".00","","","","TX","00601","00601",
"383","STAGE STORES INC","2,298.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027563","Open","101213","  .00%",".00","2,298.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101213","G324","","12/27/13","VENDOR PORTAL","   324","    38","167906","2,298.00","    .00",".00","","","","TX","00601","00601",
"384","STAGE STORES INC","2,238.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027564","Open","101214","  .00%",".00","2,238.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101214","G324","","12/27/13","VENDOR PORTAL","   324","    43","167914","2,238.00","    .00",".00","","","","TX","00601","00601",
"385","STAGE STORES INC","2,430.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027565","Open","101215","  .00%",".00","2,430.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101215","G324","","12/27/13","VENDOR PORTAL","   324","    27","167915","2,430.00","    .00",".00","","","","TX","00601","00601",
"386","STAGE STORES INC","930.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027566","Open","101216","  .00%",".00","930.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101216","G325","","12/27/13","VENDOR PORTAL","   180","    23","167916","930.00","    .00",".00","","","","TX","00601","00601",
"387","STAGE STORES INC","1,056.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027567","Open","101217","  .00%",".00","1,056.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101217","G324","","12/27/13","VENDOR PORTAL","   204","    18","167917","1,056.00","    .00",".00","","","","TX","00601","00601",
"388","STAGE STORES INC","1,824.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027568","Open","101218","  .00%",".00","1,824.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101218","G324","","12/27/13","VENDOR PORTAL","   288","    40","167918","1,824.00","    .00",".00","","","","TX","00601","00601",
"389","STAGE STORES INC","1,440.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027569","Open","101219","  .00%",".00","1,440.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101219","G324","","12/27/13","VENDOR PORTAL","   360","    30","167919","1,440.00","    .00",".00","","","","TX","00601","00601",
"390","STAGE STORES INC","2,424.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027570","Open","101220","  .00%",".00","2,424.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101220","G324","","12/27/13","VENDOR PORTAL","   480","    40","167920","2,424.00","    .00",".00","","","","TX","00601","00601",
"391","STAGE STORES INC","1,440.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027571","Open","101221","  .00%",".00","1,440.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101221","G324","","12/27/13","VENDOR PORTAL","   360","    30","167921","1,440.00","    .00",".00","","","","TX","00601","00601",
"392","STAGE STORES INC","1,680.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027572","Open","101222","  .00%",".00","1,680.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101222","G324","","12/27/13","VENDOR PORTAL","   360","    30","167922","1,680.00","    .00",".00","","","","TX","00601","00601",
"393","STAGE STORES INC","2,544.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027573","Open","101223","  .00%",".00","2,544.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101223","G324","","12/27/13","VENDOR PORTAL","   528","    44","167923","2,544.00","    .00",".00","","","","TX","00601","00601",
"394","STAGE STORES INC","1,272.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027574","Open","101224","  .00%",".00","1,272.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101224","G324","","12/27/13","VENDOR PORTAL","   288","    24","167924","1,272.00","    .00",".00","","","","TX","00601","00601",
"395","STAGE STORES INC","1,392.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027575","Open","101225","  .00%",".00","1,392.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101225","G324","","12/27/13","VENDOR PORTAL","   288","    24","167925","1,392.00","    .00",".00","","","","TX","00601","00601",
"396","STAGE STORES INC","384.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027576","Open","101226","  .00%",".00","384.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101226","G324","","12/27/13","VENDOR PORTAL","    96","    23","167926","384.00","    .00",".00","","","","TX","00601","00601",
"397","STAGE STORES INC","744.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027577","Open","101227","  .00%",".00","744.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101227","G324","","12/27/13","VENDOR PORTAL","   186","    25","167927","744.00","    .00",".00","","","","TX","00601","00601",
"398","STAGE STORES INC","1,536.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027578","Open","101228","  .00%",".00","1,536.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101228","G324","","12/27/13","VENDOR PORTAL","   384","    32","167928","1,536.00","    .00",".00","","","","TX","00601","00601",
"399","STAGE STORES INC","1,344.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027579","Open","101229","  .00%",".00","1,344.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101229","G324","","12/27/13","VENDOR PORTAL","   270","    45","167929","1,344.00","    .00",".00","","","","TX","00601","00601",
"400","STAGE STORES INC","432.00","","No collection Info","000125","12/27/2013","NET 45","752780","","Shipped","ST0001","20027580","Open","101230","  .00%",".00","432.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/30/2013","","000707","","101230","G324","","12/27/13","VENDOR PORTAL","   108","    18","167930","432.00","    .00",".00","","","","TX","00601","00601",
"401","STAGE STORES INC","480.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027581","Open","101231","  .00%",".00","480.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101231","G324","","12/27/13","VENDOR PORTAL","    84","    14","167931","480.00","    .00",".00","","","","TX","00601","00601",
"402","STAGE STORES INC","960.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027582","Open","101232","  .00%",".00","960.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101232","G324","","12/27/13","VENDOR PORTAL","   240","    21","167932","960.00","    .00",".00","","","","TX","00601","00601",
"403","STAGE STORES INC","816.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027583","Open","101233","  .00%",".00","816.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101233","G324","","12/27/13","VENDOR PORTAL","   204","    26","167933","816.00","    .00",".00","","","","TX","00601","00601",
"404","STAGE STORES INC","720.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027584","Open","101234","  .00%",".00","720.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101234","G324","","12/27/13","VENDOR PORTAL","   180","    15","167934","720.00","    .00",".00","","","","TX","00601","00601",
"405","STAGE STORES INC","192.00","","No collection Info","000127","12/27/2013","NET 45","752780","","Shipped","ST0001","20027585","Open","101235","  .00%",".00","192.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101235","G324","","12/27/13","VENDOR PORTAL","    48","     8","167914","192.00","    .00",".00","","","","TX","00601","00601",
"406","STAGE STORES INC","642.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027594","Open","101247","  .00%",".00","642.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101247","","","12/27/13","VENDOR PORTAL","   133","    28","","642.00","    .00",".00","","","","TX","00601","00601",
"407","STAGE STORES INC","912.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027595","Open","101248","  .00%",".00","912.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101248","","","12/27/13","VENDOR PORTAL","   228","    20","","912.00","    .00",".00","","","","TX","00601","00601",
"408","STAGE STORES INC","870.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027596","Open","101249","  .00%",".00","870.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101249","","","12/27/13","VENDOR PORTAL","   145","    48","","870.00","    .00",".00","","","","TX","00601","00601",
"409","STAGE STORES INC","1,560.00","","No collection Info","000127","12/27/2013","NET 45","752780","","Shipped","ST0001","20027597","Open","101250","  .00%",".00","1,560.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101250","G328","","12/27/13","VENDOR PORTAL","   300","    40","168695","1,560.00","    .00",".00","","","","TX","00601","00601",
"410","STAGE STORES INC","1,419.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027598","Open","101251","  .00%",".00","1,419.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101251","","","12/27/13","VENDOR PORTAL","   252","    42","","1,419.00","    .00",".00","","","","TX","00601","00601",
"411","STAGE STORES INC","1,344.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027599","Open","101252","  .00%",".00","1,344.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101252","","","12/27/13","VENDOR PORTAL","   336","    28","","1,344.00","    .00",".00","","","","TX","00601","00601",
"412","STAGE STORES INC","1,488.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027600","Open","101253","  .00%",".00","1,488.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101253","","","12/27/13","VENDOR PORTAL","   336","    28","","1,488.00","    .00",".00","","","","TX","00601","00601",
"413","STAGE STORES INC","1,896.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027601","Open","101254","  .00%",".00","1,896.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101254","","","12/27/13","VENDOR PORTAL","   360","    30","","1,896.00","    .00",".00","","","","TX","00601","00601",
"414","STAGE STORES INC","1,488.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027602","Open","101255","  .00%",".00","1,488.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101255","","","12/27/13","VENDOR PORTAL","   262","    41","","1,488.00","    .00",".00","","","","TX","00601","00601",
"415","STAGE STORES INC","1,392.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027603","Open","101256","  .00%",".00","1,392.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101256","","","12/27/13","VENDOR PORTAL","   312","    28","","1,392.00","    .00",".00","","","","TX","00601","00601",
"416","STAGE STORES INC","1,920.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027604","Open","101257","  .00%",".00","1,920.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101257","","","12/27/13","VENDOR PORTAL","   480","    40","","1,920.00","    .00",".00","","","","TX","00601","00601",
"417","STAGE STORES INC","2,148.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027605","Open","101258","  .00%",".00","2,148.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101258","","","12/27/13","VENDOR PORTAL","   456","    38","","2,148.00","    .00",".00","","","","TX","00601","00601",
"418","STAGE STORES INC","1,788.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027606","Open","101259","  .00%",".00","1,788.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101259","","","12/27/13","VENDOR PORTAL","   372","    31","","1,788.00","    .00",".00","","","","TX","00601","00601",
"419","STAGE STORES INC","1,824.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027607","Open","101260","  .00%",".00","1,824.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101260","","","12/27/13","VENDOR PORTAL","   438","    37","","1,824.00","    .00",".00","","","","TX","00601","00601",
"420","STAGE STORES INC","1,536.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027608","Open","101261","  .00%",".00","1,536.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101261","","","12/27/13","VENDOR PORTAL","   384","    32","","1,536.00","    .00",".00","","","","TX","00601","00601",
"421","STAGE STORES INC","768.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027609","Open","101262","  .00%",".00","768.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101262","","","12/27/13","VENDOR PORTAL","   192","    16","","768.00","    .00",".00","","","","TX","00601","00601",
"422","STAGE STORES INC","960.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027610","Open","101263","  .00%",".00","960.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101263","","","12/27/13","VENDOR PORTAL","   240","    40","","960.00","    .00",".00","","","","TX","00601","00601",
"423","STAGE STORES INC","546.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027611","Open","101264","  .00%",".00","546.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101264","","","12/27/13","VENDOR PORTAL","   126","    20","","546.00","    .00",".00","","","","TX","00601","00601",
"424","STAGE STORES INC","1,260.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027612","Open","101265","  .00%",".00","1,260.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101265","","","12/27/13","VENDOR PORTAL","   210","    35","","1,260.00","    .00",".00","","","","TX","00601","00601",
"425","STAGE STORES INC","2,253.00","","No collection Info","000126","12/27/2013","NET 45","752780","","Shipped","ST0001","20027613","Open","101266","  .00%",".00","2,253.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101266","","","12/27/13","VENDOR PORTAL","   390","    61","","2,253.00","    .00",".00","","","","TX","00601","00601",
"426","STAGE STORES INC","1,398.00","","No collection Info","000127","12/27/2013","NET 45","752780","","Shipped","ST0001","20027614","Open","101267","  .00%",".00","1,398.00","02/11/2014",".00","Invoice",".00","PB","19","1 to 30"," 45","","AF","12/13","","","","","","W","12/31/2013","","000707","","101267","","","12/27/13","VENDOR PORTAL","   234","    39","","1,398.00","    .00",".00","","","","TX","00601","00601",
"427","SUNSHINE STORES INC.","255.60","","No collection Info","000178","02/20/2014","1% 10 EOM + 30","781250","","Shipped","SU0001","608727","Open","101508"," 1.00%",".00","255.60","03/10/2014","2.56","Invoice",".00","PB","","Current","  0","","EE","01/14","","","","","","W","02/24/2014","","SU0001","","101508","G395","","02/20/14","WRAGTIME","    48","     4","02-1168865","255.60","    .00",".00","","","","NY","003","05",
"428","SW RETAIL","248.32","","No collection Info","000013","08/29/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100070","  .00%","56.32","248.32","09/28/2013",".00","Invoice",".00","PB","155","Over 150"," 30","","EE","08/13","","","","","","W","08/29/2013","","001705","","100070","G-082913","","08/29/13","","    48","     4","BT813","248.32","  56.32",".00","","","","NY","0008","8",
"429","SW RETAIL","145.72","","No collection Info","000013","08/29/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100071","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","155","Over 150"," 30","","EE","08/13","","","","","","W","08/29/2013","","001706","","100071","G-082913","","08/29/13","","    24","     4","BT813","145.72","  49.72",".00","","","","NY","0009","9",
"430","SW RETAIL","145.72","","No collection Info","000013","08/29/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100077","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","155","Over 150"," 30","","EE","08/13","","","","","","W","08/29/2013","","001712","","100077","G-082913","","08/29/13","","    24","     4","BT813","145.72","  49.72",".00","","","","GA","00017","17",
"431","SW RETAIL","145.72","","No collection Info","000013","08/29/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100080","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","155","Over 150"," 30","","EE","08/13","","","","","","W","08/29/2013","","001715","","100080","G-082913","","08/29/13","","    24","     4","","145.72","  49.72",".00","","","","OH","0020","20",
"432","SW RETAIL","145.72","","No collection Info","000014","08/29/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100083","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","155","Over 150"," 30","","EE","08/13","","","","","","W","08/29/2013","","001718","","100083","G-082913","","08/29/13","","    24","     4","130737","145.72","  49.72",".00","","","","GA","0023","23",
"433","SW RETAIL","145.72","","No collection Info","000014","08/29/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100087","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","155","Over 150"," 30","","EE","08/13","","","","","","W","08/29/2013","","001722","","100087","G-082913","","08/29/13","","    24","     4","","145.72","  49.72",".00","","","","OH","0027","27",
"434","SW RETAIL","145.72","","No collection Info","000014","08/29/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100088","  .00%","49.72","145.72","09/28/2013",".00","Invoice",".00","PB","155","Over 150"," 30","","EE","08/13","","","","","","W","08/29/2013","","001723","","100088","G-082913","","08/29/13","","    24","     4","","145.72","  49.72",".00","","","","OH","0028","28",
"435","SW RETAIL","144.48","","No collection Info","000088","09/05/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100066","  .00%","48.48","144.48","10/05/2013",".00","Invoice",".00","PB","148","121 to 150"," 30","","EE","08/13","","","","","","W","11/04/2013","","001701","","100066","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     4","","144.48","  48.48",".00","","","","NJ","0004","4",
"436","SW RETAIL","245.40","","No collection Info","000021","09/05/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100067","  .00%","53.40","245.40","10/05/2013",".00","Invoice",".00","PB","148","121 to 150"," 30","","EE","08/13","","","","","","W","09/05/2013","","001702","","100067","G-090513","","09/05/13","UPSN-UNITED PAR","    48","     4","","245.40","  53.40",".00","","","","NJ","0005","5",
"437","SW RETAIL","142.36","","No collection Info","000021","09/05/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100068","  .00%","46.36","142.36","10/05/2013",".00","Invoice",".00","PB","148","121 to 150"," 30","","EE","08/13","","","","","","W","09/05/2013","","001703","","100068","G-090513","","09/05/13","UPSN-UNITED PAR","    24","     4","","142.36","  46.36",".00","","","","NJ","0006","6",
"438","SW RETAIL","192.00","","No collection Info","000087","09/05/2013","NET 30","327640","","Shipped","SW0001","BT813","Open","100104","  .00%",".00","192.00","10/05/2013",".00","Invoice",".00","PB","148","121 to 150"," 30","","EE","08/13","","","","","","W","11/04/2013","","001700","","100104","G-090513","","09/05/13","UPSN-UNITED PAR","    48","     4","","192.00","    .00",".00","","","","NJ","0003","",
"439","SW RETAIL","486.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101144","  .00%",".00","486.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001698","","101144","G301","","12/06/13","Call for routin","   108","     9","MULTI","486.00","    .00",".00","","","","NY","0001","",
"440","SW RETAIL","486.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101145","  .00%",".00","486.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001699","","101145","G301","","12/06/13","Call for routin","   108","     9","MULTI","486.00","    .00",".00","","","","NY","0002","",
"441","SW RETAIL","486.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101146","  .00%",".00","486.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001702","","101146","G301","","12/06/13","Call for routin","   108","     9","MULTI","486.00","    .00",".00","","","","NJ","0005","",
"442","SW RETAIL","612.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101147","  .00%",".00","612.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001704","","101147","G301","","12/06/13","Call for routin","   144","    12","MULTI","612.00","    .00",".00","","","","NY","0007","",
"443","SW RETAIL","612.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101148","  .00%",".00","612.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001706","","101148","G301","","12/06/13","Call for routin","   144","    12","MULTI","612.00","    .00",".00","","","","NY","0009","",
"444","SW RETAIL","612.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101149","  .00%",".00","612.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001708","","101149","G301","","12/06/13","Call for routin","   144","    12","MULTI","612.00","    .00",".00","","","","IN","0012","",
"445","SW RETAIL","252.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101150","  .00%",".00","252.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001717","","101150","G301","","12/06/13","Call for routin","    72","     6","MULTI","252.00","    .00",".00","","","","OH","0022","",
"446","SW RETAIL","486.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101151","  .00%",".00","486.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001722","","101151","G301","","12/06/13","Call for routin","   108","     9","MULTI","486.00","    .00",".00","","","","OH","0027","",
"447","SW RETAIL","360.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101152","  .00%",".00","360.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001723","","101152","G301","","12/06/13","Call for routin","    72","     6","MULTI","360.00","    .00",".00","","","","OH","0028","",
"448","SW RETAIL","360.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101153","  .00%",".00","360.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001730","","101153","G301","","12/06/13","Call for routin","    72","     6","MULTI","360.00","    .00",".00","","","","OH","0035","",
"449","SW RETAIL","612.00","","No collection Info","000116","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101154","  .00%",".00","612.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001731","","101154","G301","","12/06/13","Call for routin","   144","    12","MULTI","612.00","    .00",".00","","","","TX","0036","",
"450","SW RETAIL","360.00","","No collection Info","000117","12/04/2013","NET 30","752780","","Shipped","SW0001","JDE1213","Open","101155","  .00%",".00","360.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 30","","EE","12/13","","","","","","W","12/17/2013","","001732","","101155","G301","","12/06/13","Call for routin","    72","     6","MULTI","360.00","    .00",".00","","","","TX","0037","",
