"Invoice No.","Invoice Date","Seq","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"100954","10/18/2013","64","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20025008","10/16/2013","198","33","940.50","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001096","W","PB-GI-000","AF","RGG023","","","","",
"100948","10/18/2013","65","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20025009","10/16/2013","96","16","480.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001097","W","PB-BI-2PS","AF","RGG022","","","","",
"100941","10/18/2013","66","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024497","10/17/2013","112","13","373.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001098","W","PB-GN-000","AF","RGG022","","","","",
"101081","11/07/2013","67","Billed","CL0001","CAROLINA CASH CO., I","CL0001","CAROLINA CASH CO., I","Original Order","101913","10/19/2013","276","36","2354.04","10/23/2013","11/01/2013","UCL","","","676817","001128","W","PB-GN-000","EE","RGG060","","","","",
"101063","11/01/2013","68","Billed","NS0001","NORDSTROMS","NS0001","NORDSTROM DIRECT","Original Order","6251619","10/24/2013","       18","        2","       617.40","11/13/2013","11/19/2013","SURFACE","","","652758","001138","W","PB-G7-DRW","EE","RGG052","","","","",
"101062","11/01/2013","69","Billed","NS0001","NORDSTROMS","NS0001","NORDSTROM DIRECT","Original Order","6250651","10/24/2013","160","18","4110.80","10/30/2013","11/06/2013","SURFACE","","","652757","001139","","PB-G7-DRK","EE","RGG052","","","","",
"101037","10/29/2013","70","Billed","US0002","US MARINE CORPS EXCH","16100","IWM MCX MAIN STORE","Original Order","1194","10/02/2013","48","4","288.00","10/02/2013","11/04/2013","CALL TO ROUTE","","","591574","001142","W","PB-BI-2PS","AF","RGG043","","","","",
"101039","10/29/2013","71","Billed","US0002","US MARINE CORPS EXCH","16100","IWM MCX MAIN STORE","Original Order","1276","09/27/2013","24","2","288.00","10/02/2013","11/04/2013","CALL TO ROUTE","","","591974","001154","W","PB-G4-3VS","MC","RGG043","","","","",
"101038","10/29/2013","72","Billed","US0002","US MARINE CORPS EXCH","16100","IWM MCX MAIN STORE","Original Order","1199","09/27/2013","24","4","151.20","10/02/2013","11/04/2013","CALL TO ROUTE","10/25/2013","","390722","001160","W","PB-BT-2PS","MC","RGG043","","","","",
"101050","11/01/2013","73","Billed","DG0001","DOLGENCORP LLC","000520","DOLLAR GENERAL,LLC.","Original Order","F0Y5MJ","10/30/2013","18096","377","54288.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001185","W","PB-GN-3BS","DS","RGG049","","","","",
"101051","11/01/2013","74","Billed","DG0001","DOLGENCORP LLC","000521","DOLLAR GENERAL,LLC.","Original Order","F0Y5MK","10/30/2013","8544","178","25632.00","11/10/2013","11/10/2013","CALL TO ROUTE","","","592554","001186","W","PB-GN-3BS","DS","RGG049","","","","",
