textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186753,102008,12122,dm transport,KIDS FOR LESS STORE #63,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186754,102009,12123,dm transport,KIDS FOR LESS STORE #63,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186761,102016,12121,dm transport,KIDS FOR LESS STORE #90,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186762,102017,12122,dm transport,KIDS FOR LESS STORE #90,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186763,102018,12123,dm transport,KIDS FOR LESS STORE #90,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186764,102019,12121,UPS,KIDS FOR LESS STORE #3,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/09 19:03 - ready to ship, 
shipping on customer account per routing "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186765,102020,12122,UPS,KIDS FOR LESS STORE #3,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/09 19:03 - ready to ship, 
shipping on customer account per routing "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186766,102021,12123,UPS,KIDS FOR LESS STORE #3,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/09 19:03 - ready to ship, 
shipping on customer account per routing "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186767,102022,12121,dm transport,KIDS FOR LES STORE #10,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186768,102023,12122,dm transport,KIDS FOR LES STORE #10,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
Warehouse: Warehouse 6,JDE Associates,2/26/2014,186769,102024,12123,dm transport,KIDS FOR LES STORE #10,2/25/2014,3/5/2014,3/7/2014 00:00,"2014/03/07 13:41 - ready to ship
all BOL supplied by dm "
