textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,11/4/2013,154173,101064,COS-3816,COSMO,GONZALEZ ASSOCIATES INC,9/20/2013,10/10/2013,11/11/2013 00:00,"2013/11/08 15:29 - READY TO SHIP
SHIPPING ON 154176"
Warehouse: Warehouse 6,JDE Associates,11/4/2013,154174,101065,GUA-3814,COSMO,GONZALEZ ASSOCIATES INC,9/20/2013,10/10/2013,11/11/2013 00:00,"2013/11/08 15:29 - READY TO SHIP
SHIPPING ON 154176"
Warehouse: Warehouse 6,JDE Associates,11/4/2013,154175,101066,NIC-3815,COSMO,GONZALEZ ASSOCIATES INC,9/20/2013,10/10/2013,11/11/2013 00:00,"2013/11/08 15:29 - READY TO SHIP
SHIPPING ON 154176"
Warehouse: Warehouse 6,JDE Associates,11/4/2013,154176,101067,SAL-3813,COSMO,GONZALEZ ASSOCIATES INC,9/20/2013,10/10/2013,11/11/2013 00:00,"2013/11/08 15:29 - READY TO SHIP
SHIPPING ON 154176"
Warehouse: Warehouse 6,JDE Associates,10/24/2013,152512,229192,0015002629,,WC RETAIL / NEXCOM,9/30/2013,10/29/2013, 00:00,"2013/10/30 19:03 - labeled and ready to go, waiting for shipping info from dario "
Warehouse: Warehouse 6,JDE Associates,10/14/2013,150922,100834,1242,FedEx,US MARINE CORPS,10/2/2013,10/18/2013,11/9/2013 00:00,"2013/11/08 18:05 - READY TO SHIP; 2013/10/30 19:06 - routed, waiting for custom docs and tax id as this is going to JAPAN, JDE notified ; 2013/10/15 18:10 - no freight, need REF# and ETA, JDE notified "
Warehouse: Warehouse 6,JDE Associates,10/14/2013,150923,100835,1255,FedEx,US MARINE CORPS,10/2/2013,10/18/2013,11/9/2013 00:00,"2013/11/08 18:05 - READY TO SHIP; 2013/10/30 19:06 - routed, waiting for custom docs and tax id as this is going to JAPAN, JDE notified ; 2013/10/15 18:10 - no freight, need REF# and ETA, JDE notified "
Warehouse: Warehouse 6,JDE Associates,10/18/2013,151607,100909,1123,FedEx,CONTACT LANDAIR FOR SHIPPING,10/2/2013,10/18/2013,11/9/2013 00:00,"2013/11/08 18:05 - READY TO SHIP; 2013/10/30 19:06 - routed, waiting for custom docs and tax id as this is going to JAPAN, JDE notified ; PK1"
Warehouse: Warehouse 6,JDE Associates,10/29/2013,153209,101037,1194,FedEx,IWM MCX MAIN STORE,10/2/2013,11/4/2013,11/9/2013 00:00,"2013/11/08 18:05 - READY TO SHIP; 2013/10/30 19:05 - waiting on extension so orders can be routed, JDE notified, "
Warehouse: Warehouse 6,JDE Associates,10/29/2013,153210,101038,1199,FedEx,IWM MCX MAIN STORE,10/2/2013,11/4/2013,11/9/2013 00:00,"2013/11/08 18:05 - READY TO SHIP; 2013/10/30 19:05 - waiting on extension so orders can be routed, JDE notified, ; PK1"
Warehouse: Warehouse 6,JDE Associates,10/29/2013,153211,101039,1276,FedEx,IWM MCX MAIN STORE,10/2/2013,11/4/2013,11/9/2013 00:00,"2013/11/08 18:05 - READY TO SHIP; 2013/10/30 19:05 - waiting on extension so orders can be routed, JDE notified, "
Warehouse: Warehouse 6,JDE Associates,10/22/2013,152151,100963,10413,FedEx,KIDS FASHION CITY,10/4/2013,10/15/2013,11/8/2013 00:00,"2013/11/07 11:43 - ready to ship; 2013/10/30 18:45 - short freight, waiting for JDE to advise "
Warehouse: Warehouse 6,JDE Associates,10/28/2013,153043,229163,3637407,NRT,bLOOMINDALES INC,10/9/2013,10/14/2013,10/29/2013 00:00,"READY TO SHIP
FREIGHT RELEASED ON 151068"
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153930,101061,10813,UCL,HOUSE OF ANGELS,10/14/2013,10/20/2013,11/11/2013 00:00,"READY TO SHIP
SHIPPING SHORT"
Warehouse: Warehouse 6,JDE Associates,10/4/2013,147237,100742,DATOS,CALL TO ROUTE,DATOS DEL IMPORADOR,10/15/2013,10/20/2013, 00:00,"2013/10/30 18:43 - emailed laura inquiring when freight will be picked up, special project almost completed ; 2013/10/15 17:01 - emailed contact provided by JDE for routing "
