"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"87","102041","02/26/2014","Billed","KM0001","KMART CORPORATION","KM0002","KMART","Distro (from Bulk)","BABYTOGS-08780713653","02/26/2014","4260","426","24921.00","03/03/2014","03/10/2014","CALL TO ROUTE","002487","","","","","","PB-GT-3LS","MY","RGG174","","","",
"88","102151","02/28/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","63106-P0000LAE90-6-1","02/28/2014","396","33","1857.00","02/28/2014","03/04/2014","UPSN-CALL TO ROUTE","002499","GWEN","","","W","","PB-BN-5PC","EE","RGG193","","","",
"89","102152","02/28/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","75839-P0000LAMIK-6-1","02/28/2014","5484","478","30276.00","02/28/2014","03/04/2014","UPSN-CALL TO ROUTE","002500","GWEN","","","W","","PB-GN-4PC","EE","RGG193","","","",
"90","102199","03/10/2014","Billed","GB0001","GABRIEL BROTHERS","GB0001","GABRIEL BROTHERS","Distro (from Bulk)","100-0038000155 MM","02/28/2014","3480","560","15000.00","03/03/2014","03/14/2014","CALLTO ROUTE","002504","060809","","","W","","PB-GI-2SS","AF","RGG210","","","",
"91","102198","03/10/2014","Billed","GB0001","GABRIEL BROTHERS","GB0001","GABRIEL BROTHERS","Distro (from Bulk)","100-0038000154 MM","02/28/2014","3864","322","18384.00","03/03/2014","03/14/2014","CALL TO ROUTE","002507","060812","","","W","","PB-GN-5PC","AF","RGG210","","","",
"92","102297","03/12/2014","Billed","HD0001","HOLLAND'S DEPARTMENT","HD0001","HOLLAND'S DEPARTMENT","Original Order","022614A","03/03/2014","108","15","762.00","03/03/2014","03/15/2014","UPS","002509","068063","","","W","","PB-G7-DRW","EE","RGG226","","","",
"93","102298","03/12/2014","Billed","HD0001","HOLLAND'S DEPARTMENT","HD0001","HOLLAND'S DEPARTMENT","Original Order","22514B","03/03/2014","96","8","591.00","03/03/2014","03/15/2014","UPS","002510","068064","","","W","","PB-BT-2SS","EE","RGG226","","","",
"94","102210","03/11/2014","Billed","MAV001","MAVICCI CORP- ETA FA","MAV001","ETF SERVICES","Original Order","RM ECUADOR","03/03/2014","1872","156","9108.00","03/03/2014","03/18/2014","CALL TO ROUTE","002515","NONE","","","","","PB-GI-ROM","EE","RGG216","","","",
"95","102209","03/11/2014","Billed","MAV001","MAVICCI CORP- ETA FA","MAV001","ETF SERVICES","Original Order","ETA FASHION ECUADOR","03/03/2014","1452","149","6732.00","03/03/2014","03/18/2014","CALL TO ROUTE","002516","NONE","","","","","PB-G4-2SS","EE","RGG216","","","",
"96","102178","03/05/2014","Billed","BR0001","BEYOND THE RACK ENTE","BR0002","BEYOND THE RACK","Distro (from Bulk)","PO161839","03/03/2014","2808","234","14691.00","03/03/2014","03/08/2014","CALL TO ROUTE","002517","NONE","","","","","PB-GN-4PC","EE","RGG200","","","",
